8: Q7_年代 x 11: Q10_購入場所 (番号: 0 総数: 10859),ドラッグストア,デパート,ブランド専門のインターネット通信販売,大型スーパー,化粧品専門店,インターネット以外の通信販売,その他,ディスカウント系のインターネット通信販売,バラエティショップ,コンビニエンスストア,食品スーパー,ディスカウントショップ（ドンキホーテ等）,ホームセンター
平均,87.625,52.1,26.925,25.275000000000002,22.700000000000003,21.6,20.6,6.4,2.575,2.5250000000000004,1.2750000000000001,1.05,0.8250000000000001
,0,0,0,0,0,0,0,0,0,0,0,0,0
19歳以下,160,48,6,24,25,10,18,3,9,5,2,3,0
20-24歳,553,284,80,92,107,44,52,9,18,9,2,7,3
25-29歳,781,589,189,174,220,112,123,44,26,33,6,9,4
30-34歳,863,563,288,252,264,233,193,57,21,24,15,8,11
35-39歳,493,298,219,182,124,181,158,66,16,14,8,8,7
40-49歳,487,219,230,200,105,210,207,61,9,15,12,2,4
50-59歳,142,65,53,70,51,68,61,14,4,1,5,4,4
60歳以上,26,18,12,17,12,6,12,2,0,0,1,1,0
